latitude,longitude,dbscan_cluster,hdbscan_cluster
50.92557,-1.391485,0,63
51.718758,-4.240395,0,-1
55.028359,-6.897467,1,0
51.283565,-1.118378,0,66
51.202679,-2.987243,0,-1
53.327486,-3.420965,0,31
53.524705,-1.40499,0,111
51.58783,-2.995745,0,26
51.519078,-0.061215,0,138
53.545579,-1.316381,0,-1
51.236461,-0.578593,0,-1
53.369811,-2.723348,0,81
51.523167,-0.699313,0,-1
52.965684,-0.026266,0,35
51.454343,-0.994732,0,87
51.514965,0.037136,0,-1
53.528628,-1.148494,0,112
52.157609,1.590096,0,-1
51.357279,-0.058388,0,-1
51.532718,-0.447254,0,-1
51.649149,-3.139517,0,-1
52.859133,-2.719295,0,-1
51.511224,-0.07413,0,-1
54.595089,-5.92019,1,0
51.741369,-2.212705,0,-1
51.382016,-2.811652,0,-1
52.525319,-1.93957,0,83
51.55284,-0.090504,0,-1
52.594592,-2.152955,0,83
50.896363,-1.405573,0,63
51.687973,-0.025491,0,-1
53.429799,-1.288021,0,-1
54.425215,-6.346808,1,0
51.51397,-0.134387,0,139
51.5544,0.123734,0,-1
50.718867,-1.894189,0,57
54.559477,-1.260801,0,13
51.412706,-0.076087,0,-1
51.582021,-0.17649,0,-1
51.77206,0.094512,0,106
51.914947,-2.098234,0,38
53.787686,-1.614272,0,121
52.957193,-1.149889,0,100
53.82393,-1.663676,0,-1
52.030337,-2.333506,0,-1
54.601349,-5.954336,1,0
52.764774,-1.951407,0,-1
54.969006,-1.490827,0,20
52.206091,0.115831,0,41
52.648739,-1.367073,0,-1
51.745247,-0.020257,0,-1
51.65292,-3.242837,0,-1
51.492378,0.152759,0,-1
51.462846,-0.009109,0,131
53.402093,-2.975561,0,96
50.91206,-1.399399,0,63
52.631357,1.294071,0,10
53.475996,-2.726208,0,95
55.015247,-1.635428,0,-1
52.566111,-1.792486,0,83
51.266533,0.505351,0,104
51.323313,-0.761863,0,88
51.575574,0.013262,0,-1
52.599774,-0.224071,0,40
51.58939,-0.139513,0,-1
52.888762,-1.421637,0,94
52.486352,-1.916385,0,83
53.416195,-2.797844,0,-1
51.677119,-4.706178,0,5
52.616819,-2.14231,0,83
50.257128,-5.055611,0,6
51.50309,0.023393,0,-1
53.564191,-0.099966,0,30
50.806331,-1.987062,0,57
51.485397,-0.223341,0,-1
54.77337,-1.566953,0,-1
53.493043,-3.027992,0,-1
52.736772,-1.349774,0,-1
53.491508,-3.024564,0,-1
51.494337,-0.096619,0,140
51.592016,0.317654,0,-1
51.440886,-2.555787,0,48
51.537101,-0.24711,0,130
50.448351,-3.556846,0,18
53.037017,-2.248367,0,64
51.492891,-0.224735,0,-1
54.977753,-1.646485,0,16
51.510015,0.281538,0,-1
51.22898,1.400674,0,-1
51.707002,-0.611018,0,-1
51.703347,-3.138954,0,-1
51.498023,-0.398226,0,126
52.95344,-1.123334,0,100
51.582756,-0.023055,0,133
52.723562,-0.652312,0,-1
52.397655,-1.477384,0,86
51.312437,0.889383,0,-1
54.567122,-6.014548,1,0
52.633758,-1.692771,0,-1
53.438575,-2.980416,0,96
51.785672,-0.086792,0,-1
53.794471,-1.519331,0,121
53.804966,-1.568211,0,121
51.061802,-1.293494,0,-1
51.549635,-0.071066,0,-1
51.338536,-2.963247,0,44
52.187511,0.307318,0,-1
53.925892,-3.012439,0,71
53.732897,-2.718442,0,65
51.331058,0.444739,0,-1
53.642391,-1.790847,0,115
52.48386,1.70301,0,9
51.305094,-2.499604,0,-1
50.164021,-5.144195,0,6
53.374339,-1.470938,0,117
50.925705,-1.366086,0,63
53.001708,-2.200824,0,64
51.541716,0.036197,0,-1
53.238855,-0.515383,0,33
53.668397,-1.768076,0,115
51.539709,-0.077182,0,-1
54.972183,-1.682589,0,16
52.614667,-1.66725,0,-1
51.876272,-0.504162,0,92
53.352776,-2.733876,0,81
51.241506,-1.117965,0,66
51.339006,0.743195,0,93
53.817211,-1.517309,0,121
51.463864,-2.610897,0,48
51.495528,0.342579,0,-1
50.777364,0.29541,0,53
55.012222,-1.445777,0,20
52.388647,-1.270189,0,-1
51.56416,-0.100938,0,-1
50.831155,-0.159613,0,77
52.065862,-2.215164,0,-1
51.443361,0.229069,0,-1
52.462895,-1.892262,0,83
53.358541,-1.32722,0,-1
54.976888,-1.58589,0,16
54.958384,-1.431854,0,20
54.058896,-0.217276,0,21
52.586096,-1.147477,0,90
54.698839,-1.23633,0,14
51.481174,-3.243908,0,28
53.406435,-2.987505,0,96
52.23053,-0.893046,0,55
51.513064,-0.129438,0,139
50.779466,-1.077049,0,72
53.75857,-2.702711,0,65
51.758633,0.069749,0,106
54.319968,-5.7042,1,0
52.589062,-1.213652,0,90
51.795195,1.148823,0,58
52.908554,-1.269276,0,100
51.157067,0.864943,0,46
51.553539,-0.158459,0,-1
52.570587,0.826787,0,-1
52.926085,-1.203782,0,100
51.856296,0.522187,0,-1
53.525428,-1.127289,0,112
52.189576,0.997567,0,-1
51.608356,-0.227354,0,-1
52.051132,-0.846821,0,60
51.510952,-0.134064,0,139
53.68384,-1.502604,0,118
50.72413,-1.986489,0,57
54.974886,-1.637059,0,16
51.735759,0.466873,0,75
54.9809,-1.397458,0,-1
51.313129,0.881346,0,-1
54.998133,-1.422836,0,20
51.044271,-1.736843,0,-1
51.538662,-0.015392,0,-1
50.394752,-4.173885,0,8
51.563825,-0.059024,0,-1
53.037932,-1.20247,0,100
52.475157,-1.965034,0,83
51.529103,-0.061683,0,-1
51.248496,-0.578867,0,-1
53.209418,-2.653997,0,-1
51.518083,-0.077804,0,138
53.537405,-1.113236,0,112
53.723209,-1.647491,0,119
