cluster,crime_count,centroid_latitude,centroid_longitude,lsoa_name,lsoa_code
14,143,54.57780763636364,-1.3212786153846154,Stockton-on-Tees 025D,E01035199
127,140,51.59603513571428,-0.06906467857142858,Haringey 024B,E01002069
29,138,53.22523833333333,-0.5436487753623189,Lincoln 004A,E01026122
49,138,50.85934315217391,0.5328579782608696,Hastings 009B,E01020979
82,137,52.18054267153285,-2.233694591240876,Worcester 011E,E01033248
89,134,53.39387893283582,-3.034208791044776,Wirral 016C,E01007128
32,131,52.67643909160306,0.25405324427480913,King's Lynn and West Norfolk 011H,E01034769
86,129,51.73832024806201,0.47418268992248064,Chelmsford 022C,E01034090
16,129,54.209244372093025,-0.3322529147286821,Scarborough 006B,E01027806
75,128,53.39608521875,-2.5887541796874998,Warrington 018F,E01033300
97,128,51.920428359375,-0.2014321796875,Stevenage 008E,E01035570
111,125,53.727246103999995,-1.874897512,Calderdale 008G,E01034582
36,123,51.34625398373984,-2.949772707317073,North Somerset 020C,E01014801
20,120,54.99595131666667,-1.4404140666666665,South Tyneside 001B,E01008596
84,119,51.26876878991597,0.526176487394958,Maidstone 004H,E01034991
74,118,50.816014533898304,-0.7252116694915255,Chichester 010D,E01031490
64,117,53.048876623931626,-3.0026801623931623,Wrexham 008C,W01000372
124,117,51.37914236752137,-0.1033324358974359,Croydon 046C,E01034149
125,117,51.54974448717949,0.07458293162393162,Redbridge 039C,E01003689
122,116,51.553956827586205,-0.2871811551724138,Brent 035D,E01033942
38,115,53.58056404347826,-0.6524078173913044,North Lincolnshire 008D,E01013330
106,115,51.767705965217395,0.10779327826086957,Harlow 004E,E01021843
59,112,51.26637770535714,-1.098279125,Basingstoke and Deane 012D,E01022503
57,110,53.09244802727273,-2.457082109090909,Cheshire East 039B,E01018464
108,104,51.755313432692304,-0.46330375,Dacorum 015F,E01035562
42,104,51.37970681730769,-2.3735052019230767,Bath and North East Somerset 007A,E01014370
129,103,51.463009922330095,-0.12242881553398058,Lambeth 011B,E01003047
126,103,51.57755011650486,-0.013130077669902913,Waltham Forest 017C,E01004397
114,103,53.70168762135923,-1.6479383689320388,Kirklees 017B,E01011130
130,102,51.56272800000001,-0.12004353921568628,Islington 004B,E01002770
6,102,54.52884606862745,-1.5484855098039216,Darlington 016H,E01035187
48,102,51.79822630392157,1.142280019607843,Tendring 016B,E01022025
0,102,54.58995498039216,-3.533677,Allerdale 009A,E01019111
69,101,52.79232654455445,-1.6064086732673268,East Staffordshire 011F,E01032896
53,98,51.38118103061225,0.7509107448979592,Swale 001A,E01024608
118,98,51.44467127551021,0.2412942857142857,Dartford 006D,E01024172
81,98,50.82214789795918,-0.3812568979591837,Worthing 011A,E01031787
15,97,55.147088298969074,-1.543958030927835,Northumberland 023B,E01027415
63,97,51.15778344329897,0.26930007216494845,Tunbridge Wells 008C,E01024823
3,97,51.75684731958762,-4.965940927835052,Pembrokeshire 005E,W01002009
2,96,54.8905690625,-2.92853421875,Carlisle 006B,E01019206
131,96,51.502504145833335,-0.22247915625,Hammersmith and Fulham 004A,E01001943
27,96,52.714617385416666,-2.746563270833333,Shropshire 019G,E01035063
39,95,51.90369217894737,-2.087582631578947,Cheltenham 001C,E01022127
25,95,54.053686705263154,-2.8310876,Lancaster 014E,E01033071
100,93,53.23826016129032,-1.4317230430107526,Chesterfield 010F,E01033387
70,93,51.813250064516126,-0.8085899892473118,Buckinghamshire 013A,E01017665
52,91,51.14533393406593,0.8761929890109891,Ashford 005G,E01034986
1,90,51.07127735555555,-4.117722122222222,North Devon 008A,E01020094
98,89,53.864949325842694,-1.9162208089887642,Bradford 008G,E01010710
120,88,51.585330534090915,-0.3375041818181818,Harrow 020B,E01002129
78,85,52.627100788235296,-1.6822409882352942,Tamworth 002A,E01029835
11,83,54.13381977108434,-3.199700734939759,Barrow-in-Furness 004A,E01019156
119,82,51.409388158536586,-0.30050065853658536,Kingston upon Thames 009C,E01002968
96,81,51.62944130864198,-0.7450887407407407,Buckinghamshire 049B,E01017837
109,81,51.24224111111111,-0.5764169753086419,Guildford 015A,E01030452
65,80,53.644771537500006,-2.9962565000000003,Sefton 004H,E01033797
